Registro{idRegistro=1, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_EMPLEADO', descripcion='Se agregó empleado: Carlos Pérez', monto=0.0, socio=N/A, empleado=Carlos, clase=N/A}
Registro{idRegistro=2, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_EMPLEADO', descripcion='Se agregó empleado: Lucía Gómez', monto=0.0, socio=N/A, empleado=Lucía, clase=N/A}
Registro{idRegistro=3, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_CLASE', descripcion='Se agregó clase: Funcional', monto=0.0, socio=N/A, empleado=N/A, clase=Funcional}
Registro{idRegistro=4, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_SOCIO', descripcion='Se agregó socio: Juan López', monto=0.0, socio=Juan, empleado=N/A, clase=N/A}
Registro{idRegistro=5, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='PAGO_CUOTA', descripcion='Pago de cuota del socio Juan López', monto=10000.0, socio=Juan, empleado=N/A, clase=N/A}
Registro{idRegistro=6, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_EMPLEADO', descripcion='Se agregó empleado: Federico Álvarez', monto=0.0, socio=N/A, empleado=Federico, clase=N/A}
Registro{idRegistro=7, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_EMPLEADO', descripcion='Se agregó empleado: Sofía Morales', monto=0.0, socio=N/A, empleado=Sofía, clase=N/A}
Registro{idRegistro=8, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_EMPLEADO', descripcion='Se agregó empleado: Valentina López', monto=0.0, socio=N/A, empleado=Valentina, clase=N/A}
Registro{idRegistro=9, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_EMPLEADO', descripcion='Se agregó empleado: Diego Fernández', monto=0.0, socio=N/A, empleado=Diego, clase=N/A}
Registro{idRegistro=10, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_EMPLEADO', descripcion='Se agregó empleado: Camila Díaz', monto=0.0, socio=N/A, empleado=Camila, clase=N/A}
Registro{idRegistro=11, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_EMPLEADO', descripcion='Se agregó empleado: Matías Romero', monto=0.0, socio=N/A, empleado=Matías, clase=N/A}
Registro{idRegistro=12, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_EMPLEADO', descripcion='Se agregó empleado: Ana Ruiz', monto=0.0, socio=N/A, empleado=Ana, clase=N/A}
Registro{idRegistro=13, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_EMPLEADO', descripcion='Se agregó empleado: Laura Medina', monto=0.0, socio=N/A, empleado=Laura, clase=N/A}
Registro{idRegistro=14, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_EMPLEADO', descripcion='Se agregó empleado: Paula Castro', monto=0.0, socio=N/A, empleado=Paula, clase=N/A}
Registro{idRegistro=15, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_SOCIO', descripcion='Se agregó socio: Martín García', monto=0.0, socio=Martín, empleado=N/A, clase=N/A}
Registro{idRegistro=16, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='PAGO_CUOTA', descripcion='Pago de cuota del socio Martín García', monto=35000.0, socio=Martín, empleado=N/A, clase=N/A}
Registro{idRegistro=17, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_SOCIO', descripcion='Se agregó socio: María Rodríguez', monto=0.0, socio=María, empleado=N/A, clase=N/A}
Registro{idRegistro=18, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='PAGO_CUOTA', descripcion='Pago de cuota del socio María Rodríguez', monto=105000.0, socio=María, empleado=N/A, clase=N/A}
Registro{idRegistro=19, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_SOCIO', descripcion='Se agregó socio: Lucía González', monto=0.0, socio=Lucía, empleado=N/A, clase=N/A}
Registro{idRegistro=20, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_SOCIO', descripcion='Se agregó socio: José Martínez', monto=0.0, socio=José, empleado=N/A, clase=N/A}
Registro{idRegistro=21, fecha=Sun Nov 16 12:30:57 GMT-03:00 2025, tipo='AGREGAR_SOCIO', descripcion='Se agregó socio: Camila Pérez', monto=0.0, socio=Camila, empleado=N/A, clase=N/A}
